Transmission,BodyType,Cyl,Litre,Kms,Economy,Make,Model,Badge,Colour,Year,Price,Fuel,Location,Cat,SellerId
Manual,SUV,4,2,213415,,Subaru,Forester,GX,Maroon/Burgundy,1998,4900,Petrol - Unleaded ULP,NEW SOUTH WALES,Private,SSE-SELLER-3160800
Automatic,SUV,4,2.5,182000,9.7,Subaru,Forester,X Luxury,Silver,2006,7500,Petrol - Unleaded ULP,VICTORIA,Used,AGC-SELLER-51672
Manual,SUV,4,2,105000,6.4,Subaru,Forester,2.0D Premium,Dark Grey,2011,20900,Diesel,SOUTH AUSTRALIA,Private,SSE-SELLER-3282514
Automatic,SUV,4,2.5,152879,11.1,Subaru,Forester,XT,Premium Silver,2006,9750,Petrol - Premium ULP,NEW SOUTH WALES,Private,SSE-SELLER-3322369
Automatic,SUV,4,2.5,192000,11,Subaru,Forester,XT,Premium Silver,2004,7900,Petrol - Premium ULP,VICTORIA,Private,SSE-SELLER-2016880
Automatic,SUV,4,2.5,95791,8.1,Subaru,Forester,2.5i-L,Silver,2013,24990,Petrol - Unleaded ULP,NEW SOUTH WALES,Used,AGC-SELLER-15921
Manual,SUV,4,2.5,89000,9.6,Subaru,Forester,X,Evergreen,2005,11000,Petrol - Unleaded ULP,VICTORIA,Private,SSE-SELLER-752451
Manual,SUV,4,2.5,295664,9.6,Subaru,Forester,X,White,2006,5000,Petrol - Unleaded ULP,VICTORIA,Used,AGC-SELLER-17372
Manual,SUV,4,2,59241,6,Subaru,Forester,2.0D Premium,Satin White Pearl,2012,24000,Diesel,NEW SOUTH WALES,Private,SSE-SELLER-2206644
Manual,SUV,4,2.5,100219,10.5,Subaru,Forester,XT,Spark Silver,2010,21490,Petrol - Premium ULP,QUEENSLAND,Private,SSE-SELLER-3292696
Automatic,SUV,4,2.5,147000,9.6,Subaru,Forester,XS Premium,Dark Grey,2009,15800,Petrol - Unleaded ULP,WESTERN AUSTRALIA,Private,SSE-SELLER-2048510
Automatic,SUV,4,2.5,160000,10.5,Subaru,Forester,XT Premium,Satin White Pearl,2009,14000,Petrol - Premium ULP,NEW SOUTH WALES,Private,SSE-SELLER-1283909
Automatic,SUV,4,2.5,168011,9.6,Subaru,Forester,X,Dark Grey,2008,13300,Petrol - Unleaded ULP,VICTORIA,Private,SSE-SELLER-2244651
Automatic,SUV,4,2.5,117815,9.6,Subaru,Forester,X,Dark Grey,2009,13500,Petrol - Unleaded ULP,NEW SOUTH WALES,Private,SSE-SELLER-3253646
Automatic,SUV,4,2.5,194789,9.3,Subaru,Forester,X,White,2012,12560,Petrol - Unleaded ULP,QUEENSLAND,Used,AGC-SELLER-18256
Manual,SUV,4,2,343000,,Subaru,Forester,Limited,White,2001,3990,Petrol - Unleaded ULP,VICTORIA,Used,AGC-SELLER-531
Automatic,SUV,4,2.5,48200,8.1,Subaru,Forester,2.5i-L,Dark Grey,2013,24499,Petrol - Unleaded ULP,VICTORIA,Private,SSE-SELLER-3282828
Automatic,SUV,4,2.5,175000,9.6,Subaru,Forester,X,White,2010,12000,Petrol - Unleaded ULP,NEW SOUTH WALES,Private,SSE-SELLER-3222450
Manual,SUV,4,2.5,72319,9.3,Subaru,Forester,X,Silver,2011,21490,Petrol - Unleaded ULP,TASMANIA,Used,AGC-SELLER-2128
Manual,SUV,4,2,270500,,Subaru,Forester,GX,Black Mica,2001,3700,Petrol - Unleaded ULP,SOUTH AUSTRALIA,Private,SSE-SELLER-3164238
Manual,SUV,4,2,58000,5.9,Subaru,Forester,2.0D-S,Marine Blue Pearl,2013,32000,Diesel,NEW SOUTH WALES,Private,SSE-SELLER-1980849
Manual,SUV,4,2.5,111579,11.4,Subaru,Forester,XT,Obsidian Black Pearl,2008,15950,Petrol - Premium ULP,QUEENSLAND,Private,SSE-SELLER-3251800
Automatic,SUV,4,2.5,142000,9.6,Subaru,Forester,X Luxury,White,2010,15500,Petrol - Unleaded ULP,QUEENSLAND,Private,SSE-SELLER-112407
Automatic,SUV,4,2.5,25000,8.1,Subaru,Forester,2.5i-S,Ice Silver,2013,33000,Petrol - Unleaded ULP,NEW SOUTH WALES,Private,SSE-SELLER-2055312
Automatic,SUV,4,2.5,46072,9.3,Subaru,Forester,XS,Silver,2012,23866,Petrol - Unleaded ULP,WESTERN AUSTRALIA,Used,AGC-SELLER-14834
Automatic,SUV,4,2.5,143458,9.6,Subaru,Forester,XS,Blue,2009,11900,Petrol - Unleaded ULP,QUEENSLAND,Private,SSE-SELLER-2652911
Manual,SUV,4,2.5,282583,11.4,Subaru,Forester,XT Luxury,Premium Silver,2006,9000,Petrol - Premium ULP,NEW SOUTH WALES,Private,SSE-SELLER-780331
Manual,SUV,4,2.5,162464,9.6,Subaru,Forester,X,Steel Silver,2007,9000,Petrol - Unleaded ULP,VICTORIA,Private,SSE-SELLER-2866036
Manual,SUV,4,2.5,179000,8.7,Subaru,Forester,XS,Premium Silver,2004,5400,Petrol - Unleaded ULP,NEW SOUTH WALES,Private,SSE-SELLER-3191552
Automatic,SUV,4,2.5,1243,8.1,Subaru,Forester,2.5i-L Special Edition,Red,2015,34990,Petrol - Unleaded ULP,QUEENSLAND,Demo,AGC-SELLER-14995
Automatic,SUV,4,2.5,214000,9.7,Subaru,Forester,XS,Premium Silver,2005,7500,Petrol - Unleaded ULP,QUEENSLAND,Private,SSE-SELLER-3299185
Automatic,SUV,4,2.5,116000,9.6,Subaru,Forester,XS,Spark Silver,2010,18800,Petrol - Unleaded ULP,NEW SOUTH WALES,Private,SSE-SELLER-1036396
Automatic,SUV,4,2.5,127665,10.5,Subaru,Forester,XT,Satin White Pearl,2008,18000,Petrol - Premium ULP,QUEENSLAND,Private,SSE-SELLER-3215187
Automatic,SUV,4,2.5,39433,8.1,Subaru,Forester,2.5i,Marine Blue Pearl,2013,29500,Petrol - Unleaded ULP,VICTORIA,Private,SSE-SELLER-2328182
Automatic,SUV,4,2.5,111998,9.7,Subaru,Forester,X,Blue,2008,18999,Petrol - Unleaded ULP,NEW SOUTH WALES,Used,AGC-SELLER-7674
Manual,SUV,4,2.5,130998,11.4,Subaru,Forester,XT Luxury,Regal Blue,2006,13900,Petrol - Premium ULP,QUEENSLAND,Private,SSE-SELLER-1078082
Manual,SUV,4,2.5,208600,8.7,Subaru,Forester,X,Dark Green,2005,5999,Petrol - Unleaded ULP,VICTORIA,Private,SSE-SELLER-3264153
Automatic,SUV,4,2.5,119000,9.6,Subaru,Forester,XS Premium,Black,2009,16800,Petrol - Unleaded ULP,NEW SOUTH WALES,Private,SSE-SELLER-1899987
Automatic,SUV,4,2.5,54634,8.1,Subaru,Forester,2.5i-L,Satin White Pearl,2013,27000,Petrol - Unleaded ULP,VICTORIA,Private,SSE-SELLER-3323062
Automatic,SUV,4,2.5,69311,9.3,Subaru,Forester,XS Premium,Satin White Pearl,2011,24600,Petrol - Unleaded ULP,WESTERN AUSTRALIA,Private,SSE-SELLER-3223591
Automatic,SUV,4,2.5,147126,9.3,Subaru,Forester,X,Black,2012,13170,Petrol - Unleaded ULP,QUEENSLAND,Used,AGC-SELLER-15589
Automatic,SUV,4,2.5,95172,9.6,Subaru,Forester,XS,Silver,2010,18900,Petrol - Unleaded ULP,NEW SOUTH WALES,Used,AGC-SELLER-10382
Automatic,SUV,4,2.5,93352,9.6,Subaru,Forester,XS Premium,Bronze,2008,15490,Petrol - Unleaded ULP,AUSTRALIAN CAPITAL TERRITORY,Private,SSE-SELLER-1060752
Automatic,SUV,4,2.5,165922,8.8,Subaru,Forester,X Weekender,White,2005,6999,Petrol - Unleaded ULP,NEW SOUTH WALES,Used,AGC-SELLER-29910
Automatic,SUV,4,2.5,197905,9.7,Subaru,Forester,X,Maroon/Burgundy,2008,9000,Petrol - Unleaded ULP,NEW SOUTH WALES,Private,SSE-SELLER-676957
